detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,precision,recall,f1_score,iou,score
canny,50,5000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,100,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,100,1000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,100,2000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,100,5000,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,30.00
canny,200,500,50,150,1,0,0,0,0,0.0000,51.22,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,65.85
canny,200,1000,50,150,1,0,0,0,0,0.0000,61.50,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,73.05
canny,200,2000,50,150,1,0,0,0,0,0.0000,53.02,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,67.11
canny,200,5000,50,150,1,0,0,0,0,0.0000,44.62,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,61.24
canny,500,500,50,150,1,0,0,0,2,0.0000,86.99,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,90.89
canny,500,1000,50,150,1,0,0,0,2,0.0000,87.45,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,91.21
canny,500,2000,50,150,1,0,0,0,2,0.0000,88.33,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,91.83
canny,500,5000,50,150,1,0,0,0,2,0.0000,88.33,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,91.83
log,50,500,50,150,1,0,0,0,5,0.0000,55.99,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,69.19
log,50,1000,50,150,1,0,0,0,5,0.0000,56.43,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,69.50
log,50,2000,50,150,1,0,0,0,5,0.0000,57.93,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,70.55
log,50,5000,50,150,1,0,0,0,5,0.0000,57.44,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,70.21
log,100,500,50,150,1,0,0,0,10,0.0000,37.89,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,56.52
log,100,1000,50,150,1,0,0,0,10,0.0000,37.45,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,56.22
log,100,2000,50,150,1,0,0,0,10,0.0000,37.45,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,56.22
log,100,5000,50,150,1,0,0,0,10,0.0000,37.89,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,56.52
log,200,500,50,150,1,0,0,0,20,0.0000,28.50,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,49.95
log,200,1000,50,150,1,0,0,0,20,0.0000,28.76,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,50.13
log,200,2000,50,150,1,0,0,0,20,0.0000,28.76,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,50.13
log,200,5000,50,150,1,0,0,0,20,0.0000,29.58,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,50.71
log,500,500,50,150,1,0,0,0,50,0.0001,16.70,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,41.69
log,500,1000,50,150,1,0,0,0,50,0.0001,16.70,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,41.69
log,500,2000,50,150,1,0,0,0,50,0.0001,16.64,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,41.65
log,500,5000,50,150,1,0,0,0,50,0.0001,16.70,0.00,0.00,0.00,0.0,30,0.0000,0.0000,0.0000,0.0000,41.69
